product,review,sentiment
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Too expensive for the quality,negative
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Not satisfied with the build quality,negative
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral","Worth the price, highly recommended",positive
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Meets expectations,neutral
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Smooth wheels and stylish design,positive
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Smooth wheels and stylish design,positive
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Color faded quickly,positive
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Too expensive for the quality,negative
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Too expensive for the quality,negative
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Color faded quickly,positive
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black","Perfect for travel, loved it",positive
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Excellent quality and very durable,positive
Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Grey),Too expensive for the quality,negative
Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Grey),Meets expectations,neutral
Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Grey),"Average product, does the job",negative
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),"Worth the price, highly recommended",positive
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),"Average product, does the job",negative
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),Color faded quickly,positive
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),Wheels broke after few uses,negative
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),"Average product, does the job",negative
Aristocrat Atlas Check-in Trolley Bag 66cm | Medium | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Teal Blue),Not satisfied with the build quality,negative
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Wheels broke after few uses,negative
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Very spacious and sturdy,positive
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Not satisfied with the build quality,negative
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Wheels broke after few uses,negative
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Handle feels weak,negative
"Aristocrat Liberty Set of 2 (Cabin+Medium) Trolley Bag, 58+68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",Very spacious and sturdy,positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,"Perfect for travel, loved it",positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,"Average product, does the job",negative
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,Meets expectations,neutral
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,"Worth the price, highly recommended",positive
"Aristocrat Liberty Set of 3 (Cabin+Medium+Large) Trolley Bag, 58+68+78Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | New Saddle Brown",Handle feels weak,negative
"Aristocrat Liberty Set of 3 (Cabin+Medium+Large) Trolley Bag, 58+68+78Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | New Saddle Brown",Fine for short trips,positive
"Aristocrat Liberty Set of 3 (Cabin+Medium+Large) Trolley Bag, 58+68+78Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | New Saddle Brown",Not satisfied with the build quality,negative
"Aristocrat Liberty Set of 3 (Cabin+Medium+Large) Trolley Bag, 58+68+78Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | New Saddle Brown",Too expensive for the quality,negative
"Aristocrat Comet Set of 2 Trolley Bag 56, 66cm | Small+Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock With Sturdy Zipper| Full Fabric Convipack | 3-year International Warranty (Grey)","Perfect for travel, loved it",positive
"Aristocrat Comet Set of 2 Trolley Bag 56, 66cm | Small+Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock With Sturdy Zipper| Full Fabric Convipack | 3-year International Warranty (Grey)",Very spacious and sturdy,positive
"Aristocrat Comet Set of 2 Trolley Bag 56, 66cm | Small+Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock With Sturdy Zipper| Full Fabric Convipack | 3-year International Warranty (Grey)",Nothing special but decent,positive
"Aristocrat Comet Set of 2 Trolley Bag 56, 66cm | Small+Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock With Sturdy Zipper| Full Fabric Convipack | 3-year International Warranty (Grey)",Nothing special but decent,positive
"Aristocrat Comet Set of 2 Trolley Bag 56, 66cm | Small+Medium | Hard Luggage| Smooth 8-Wheel Suitcase| Combination Lock With Sturdy Zipper| Full Fabric Convipack | 3-year International Warranty (Grey)",Nothing special but decent,positive
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)","Perfect for travel, loved it",positive
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)","Worth the price, highly recommended",positive
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)",Wheels broke after few uses,negative
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)","Perfect for travel, loved it",positive
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)",Color faded quickly,positive
"Aristocrat Cabin Polypropylene Airpro 55 Cm(Small) 8 Spinner Wheels Trolley Bags for Travel Hard Case Luggage, Lightweight Bag with Combination Lock & Robust Trolley with 3 Years Warranty (Blue)",Too expensive for the quality,negative
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",Very spacious and sturdy,positive
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",Excellent quality and very durable,positive
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",Nothing special but decent,positive
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel","Average product, does the job",negative
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",Fine for short trips,positive
"Aristocrat Liberty Medium (Check-in) Trolley Bag, 68Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Jet Black, Polypropylene (PP), Hard, Spinner Wheel",Handle feels weak,negative
"Aristocrat Liberty Cabin (Carry-On) Trolley Bag, 58Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue, Polypropylene (PP), Hard, Spinner Wheel",Color faded quickly,positive
"Aristocrat Liberty Cabin (Carry-On) Trolley Bag, 58Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue, Polypropylene (PP), Hard, Spinner Wheel",Okay for occasional use,positive
"Aristocrat Liberty Cabin (Carry-On) Trolley Bag, 58Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue, Polypropylene (PP), Hard, Spinner Wheel",Wheels broke after few uses,negative
Nasher Miles The Line Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),Very spacious and sturdy,positive
Nasher Miles The Line Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),Too expensive for the quality,negative
Nasher Miles The Line Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),Okay for occasional use,positive
Nasher Miles The Line Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),Color faded quickly,positive
Nasher Miles The Line Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Black),"Worth the price, highly recommended",positive
Nasher Miles The Line Hard-Sided Polypropylene Luggage Set of 2 | 55cm & 65cm | 8 Wheels Small & Medium Trolley Bag for Travel | Suitcase (White),Excellent quality and very durable,positive
Nasher Miles The Line Hard-Sided Polypropylene Luggage Set of 2 | 55cm & 65cm | 8 Wheels Small & Medium Trolley Bag for Travel | Suitcase (White),Very spacious and sturdy,positive
Nasher Miles The Line Hard-Sided Polypropylene Luggage Set of 2 | 55cm & 65cm | 8 Wheels Small & Medium Trolley Bag for Travel | Suitcase (White),"Average product, does the job",negative
Nasher Miles The Line Hard-Sided Polypropylene Luggage Set of 2 | 55cm & 65cm | 8 Wheels Small & Medium Trolley Bag for Travel | Suitcase (White),Handle feels weak,negative
Nasher Miles The Line Hard-Sided Polypropylene Luggage Set of 2 | 55cm & 65cm | 8 Wheels Small & Medium Trolley Bag for Travel | Suitcase (White),"Perfect for travel, loved it",positive
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),Color faded quickly,positive
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),Nothing special but decent,positive
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),Not satisfied with the build quality,negative
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),Okay for occasional use,positive
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),"Perfect for travel, loved it",positive
Nasher Miles The Line Hard-Sided Polypropylene Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Pink),Too expensive for the quality,negative
"Nasher Miles Paris Hardshell-Sided Polypropylene Check-in Luggage Avacado Green 24 Inch |65Cm 8 Wheel Inline Trolley Bag, Medium",Not satisfied with the build quality,negative
"Nasher Miles Paris Hardshell-Sided Polypropylene Check-in Luggage Avacado Green 24 Inch |65Cm 8 Wheel Inline Trolley Bag, Medium",Excellent quality and very durable,positive
"Nasher Miles Paris Hardshell-Sided Polypropylene Check-in Luggage Avacado Green 24 Inch |65Cm 8 Wheel Inline Trolley Bag, Medium",Wheels broke after few uses,negative
"Nasher Miles Paris Hardshell-Sided Polypropylene Check-in Luggage Avacado Green 24 Inch |65Cm 8 Wheel Inline Trolley Bag, Medium",Very spacious and sturdy,positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,Handle feels weak,negative
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,Excellent quality and very durable,positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,Okay for occasional use,positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,"Worth the price, highly recommended",positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,Color faded quickly,positive
American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,"Perfect for travel, loved it",positive
DELSEY PARIS Tiphanie 76 cms Large Check-in Polycarbonate Hardsided 8 Wheels Spinner Luggage/Suitcase/Trolley Bag for Travel with TSA Lock- Graphite Black,Handle feels weak,negative
